CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,9843
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,13358
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,26042
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,9794
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,22525
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,8015
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,64818
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,36
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,50
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,4
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,52
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,1
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,8
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,196
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,3486
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,15  to 21 Days,1640
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,2 to 7 Days,6941
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,22  to 28 Days,568
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,8  to 14 Days,3620
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,More than 28 Days,228
92G,E38000231,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",E54000040,"Bath And North East Somerset, Swindon And Wiltshire  STP",E40000006,South West,MAR2019,Attended,GP,Telephone,Same Day,33690
