CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,1 Day,2686
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,3152
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,6392
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,2311
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,3923
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,2647
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Same Day,27033
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Home Visit,1 Day,1
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Home Visit,2 to 7 Days,1
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Home Visit,Same Day,53
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,1 Day,1090
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,15  to 21 Days,299
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,2 to 7 Days,2970
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,22  to 28 Days,72
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,8  to 14 Days,895
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,More than 28 Days,40
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Telephone,Same Day,5417
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Unknown,1 Day,2
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Unknown,15  to 21 Days,3
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Unknown,22  to 28 Days,4
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Unknown,8  to 14 Days,1
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Unknown,Same Day,2
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,1 Day,20
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,15  to 21 Days,57
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,2 to 7 Days,97
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,22  to 28 Days,64
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,8  to 14 Days,53
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,More than 28 Days,26
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,GP,Video/Online,Same Day,110
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,3157
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,6300
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,11920
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,3796
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,10336
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3882
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,11122
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,1
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,4
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,2
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,1 Day,164
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,43
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,2 to 7 Days,401
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,22  to 28 Days,28
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,8  to 14 Days,123
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,More than 28 Days,19
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,Same Day,2170
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Unknown,Unknown,1 Day,300
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Unknown,Unknown,15  to 21 Days,214
M1J4Y,E38000249,"NHS Bedfordshire, Luton and Milton Keynes CCG",E54000024,"Bedfordshire, Luton And Milton Keynes  STP",E40000007,East of England,MAR2019,Attended,Unknown,Unknown,2 to 7 Days,1043
