CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,15587
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,12246
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,41851
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,8171
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,28367
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3976
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,143023
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,21
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,207
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,15  to 21 Days,14
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,184
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,22  to 28 Days,5
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,40
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,More than 28 Days,3
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,1362
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,5
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,2556
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,445
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,5153
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,214
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,1838
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,72
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,18070
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,1 Day,471
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,15  to 21 Days,433
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,2 to 7 Days,848
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,22  to 28 Days,395
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,8  to 14 Days,921
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,More than 28 Days,261
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,Same Day,5337
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,1 Day,138
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,15  to 21 Days,44
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,2 to 7 Days,599
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,22  to 28 Days,75
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,8  to 14 Days,593
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,More than 28 Days,5
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,Same Day,555
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,11795
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,17643
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,48526
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,11189
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,35765
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,8217
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,42302
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,18
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,135
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,112
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,360
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,80
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,235
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,40
15E,E38000220,NHS Birmingham and Solihull CCG,E54000017,Birmingham And Solihull  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,412
