CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,6993
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,10446
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,19756
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,8813
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,15904
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5060
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,45139
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,12
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,153
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Home Visit,15  to 21 Days,13
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Home Visit,2 to 7 Days,194
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Home Visit,22  to 28 Days,6
10Q,E38000136,NHS Oxfordshire CCG,E54000044,"Buckinghamshire, Oxfordshire And Berkshire West  STP",E40000005,South East,MAR2019,Attended,GP,Home Visit,8  to 14 Days,28
