CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,7072
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,6624
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,16408
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,4600
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,11954
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,2529
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,49098
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,155
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,406
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,5
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,136
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,3
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,20
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,More than 28 Days,1
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,1122
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,4
11N,E38000089,NHS Kernow CCG,E54000036,Cornwall And The Isles Of Scilly Health And Social Care Partnership  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,2946
