CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,4730
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,4815
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,15110
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,2591
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,10206
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,1320
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,47443
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,5
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,25
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,19
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,1
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,375
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,1329
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,107
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,2745
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,59
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,591
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,14
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,10660
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,1 Day,1124
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,15  to 21 Days,208
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,2 to 7 Days,1383
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,22  to 28 Days,175
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,8  to 14 Days,328
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,More than 28 Days,182
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,Same Day,7535
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,Unknown / Data Issue,2
B2M3M,E38000251,NHS Coventry and Warwickshire CCG,E54000018,Coventry And Warwickshire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,4252
