CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,13802
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,17576
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,43212
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,10627
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,27105
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5350
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,99398
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,10
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,227
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,10
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,183
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,3
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,28
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,1217
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,3
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,7115
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,15  to 21 Days,1162
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,2 to 7 Days,14958
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,22  to 28 Days,466
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,8  to 14 Days,3645
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,More than 28 Days,187
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Same Day,56015
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,8
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,1 Day,56
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,15  to 21 Days,48
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,2 to 7 Days,117
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,22  to 28 Days,8
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,8  to 14 Days,61
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,More than 28 Days,8
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,Same Day,522
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,1 Day,169
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,15  to 21 Days,485
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,2 to 7 Days,774
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,22  to 28 Days,382
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,8  to 14 Days,921
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,More than 28 Days,162
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,Same Day,221
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,15366
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,23664
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,62481
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,20338
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,48357
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,18216
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,55421
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,15
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,113
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,5
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,69
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,3
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,25
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,5
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,760
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,1 Day,2440
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,314
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,2 to 7 Days,3082
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,22  to 28 Days,215
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,8  to 14 Days,813
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,More than 28 Days,179
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,Same Day,42128
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,12
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,1 Day,3
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,15  to 21 Days,4
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,2 to 7 Days,15
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,22  to 28 Days,3
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,8  to 14 Days,11
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,More than 28 Days,4
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,Same Day,240
15N,E38000230,NHS Devon CCG,E54000037,Devon  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Video/Online,1 Day,31
