CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,9269
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,14183
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,25839
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,8848
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,21039
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5658
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,56497
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,2
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,6
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,2
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,17
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,1
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,5
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,More than 28 Days,2
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,112
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,4556
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,15  to 21 Days,1050
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,2 to 7 Days,9911
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,22  to 28 Days,362
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,8  to 14 Days,2840
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,More than 28 Days,182
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Same Day,24787
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,1 Day,103
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,15  to 21 Days,3
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,2 to 7 Days,85
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,22  to 28 Days,1
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,8  to 14 Days,46
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,Same Day,616
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,1 Day,204
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,15  to 21 Days,114
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,2 to 7 Days,333
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,22  to 28 Days,64
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,8  to 14 Days,480
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,More than 28 Days,18
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,GP,Video/Online,Same Day,462
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,8069
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,15235
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,29041
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,10571
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,26033
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,13984
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,31089
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,27
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,52
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,16
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,78
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,19
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,41
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,17
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,115
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,1 Day,595
11J,E38000045,NHS Dorset CCG,E54000041,Dorset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,93
