CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,1740
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,1524
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,2760
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,913
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,1992
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,267
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,8400
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,22
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,2 to 7 Days,11
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,8  to 14 Days,5
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,Same Day,113
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,1 Day,1045
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,15  to 21 Days,63
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,2 to 7 Days,2436
D4U1Y,E38000252,NHS Frimley CCG,E54000034,Frimley Health And Care Ics  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,22  to 28 Days,9
