CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,6052
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,10211
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,17348
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,7023
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,12671
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,4654
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,39159
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,1
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,49
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,8
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,34
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,2
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,14
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,More than 28 Days,2
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,302
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,2828
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,15  to 21 Days,557
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,2 to 7 Days,5624
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,22  to 28 Days,291
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,8  to 14 Days,1565
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,More than 28 Days,125
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Same Day,23942
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,1
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,1 Day,1035
11M,E38000062,NHS Gloucestershire CCG,E54000043,Gloucestershire  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,15  to 21 Days,554
