CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,2135
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,4302
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,6891
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,2843
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,5470
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,920
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,11235
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,1
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,119
D9Y0V,E38000253,"NHS Hampshire, Southampton and Isle of Wight CCG",E54000042,Hampshire And The Isle Of Wight  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,15  to 21 Days,4
