CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,8518
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,11540
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,21754
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,8264
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,15785
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3901
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,72337
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,4
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,286
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,15  to 21 Days,8
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,184
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,22  to 28 Days,16
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,27
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,More than 28 Days,4
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,1886
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,18
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,4043
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,1078
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,7922
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,355
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,3932
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,139
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,48227
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,6
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,1 Day,760
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,15  to 21 Days,535
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,2 to 7 Days,2201
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,22  to 28 Days,473
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,8  to 14 Days,821
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,More than 28 Days,412
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,Same Day,10443
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,9799
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,13308
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,37970
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,11109
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,25985
18C,E38000236,NHS Herefordshire CCG,E54000019,Herefordshire And Worcestershire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,9335
