CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,1 Day,5610
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,6753
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,14559
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,5391
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,9548
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3388
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Same Day,50232
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,16
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,1 Day,7
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,2 to 7 Days,26
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,8  to 14 Days,9
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,Same Day,165
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,5
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,1 Day,1249
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,15  to 21 Days,336
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,2 to 7 Days,3501
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,22  to 28 Days,119
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,8  to 14 Days,1188
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,More than 28 Days,33
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,Same Day,9637
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,1 Day,297
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,15  to 21 Days,148
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,2 to 7 Days,589
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,22  to 28 Days,123
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,8  to 14 Days,425
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,More than 28 Days,220
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,Same Day,2077
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,Unknown / Data Issue,6
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,1 Day,58
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,15  to 21 Days,103
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,2 to 7 Days,176
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,22  to 28 Days,213
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,8  to 14 Days,140
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,More than 28 Days,67
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,Same Day,93
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,3881
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,8185
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,15478
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,5406
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,13698
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,4975
06K,E38000049,NHS East and North Hertfordshire CCG,E54000025,Hertfordshire And West Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,18889
