CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,10777
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,13466
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,28364
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,9764
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,24351
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5834
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,87239
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,3
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,34
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,31
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,4
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,447
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,2990
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,696
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,6490
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,369
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,2391
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,118
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,28992
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,1 Day,307
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,15  to 21 Days,333
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,2 to 7 Days,2408
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,22  to 28 Days,403
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,8  to 14 Days,926
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,More than 28 Days,70
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Video/Online,Same Day,501
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,10985
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,19622
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,40722
15M,E38000229,NHS Derby and Derbyshire CCG,E54000012,Joined Up Care Derbyshire  STP,E40000008,Midlands,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,16297
