CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,12249
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,14651
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,31608
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,9504
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,24838
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5933
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,116334
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,20
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,587
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,15  to 21 Days,11
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,2 to 7 Days,408
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,22  to 28 Days,9
91Q,E38000237,NHS Kent and Medway CCG,E54000032,Kent And Medway  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,8  to 14 Days,59
