CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,4308
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,4897
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,11111
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,2484
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,6670
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,1287
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,27380
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,4
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,13
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,11
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,1
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,77
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,1273
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,309
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,3166
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,115
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,1100
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,37
03W,E38000051,NHS East Leicestershire and Rutland CCG,E54000015,"Leicester, Leicestershire And Rutland  STP",E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,7686
