CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,5188
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,8176
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,15598
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,5863
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,12845
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3943
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,56690
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,10
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,36
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,15  to 21 Days,1
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,19
71E,E38000238,NHS Lincolnshire CCG,E54000013,Lincolnshire  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,3
