CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,1 Day,3494
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,3854
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,9378
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,3911
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,7930
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,2328
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Same Day,35895
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,5
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,1 Day,2
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,8  to 14 Days,1
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,Same Day,27
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,1 Day,1552
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,15  to 21 Days,167
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,2 to 7 Days,2204
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,22  to 28 Days,267
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,8  to 14 Days,500
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,More than 28 Days,62
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,Same Day,5708
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,1 Day,80
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,15  to 21 Days,154
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,2 to 7 Days,178
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,22  to 28 Days,159
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,8  to 14 Days,145
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,More than 28 Days,18
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,Same Day,207
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,3686
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,6612
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,15910
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,4795
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,12756
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3974
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,16529
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,2
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,8
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,1
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,4
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,1
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,4
06Q,E38000106,NHS Mid Essex CCG,E54000026,Mid And South Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Telephone,1 Day,408
