CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,1 Day,14568
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,20986
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,40127
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,11860
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,34338
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,5744
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Same Day,126348
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,69
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,1 Day,126
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,15  to 21 Days,5
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,2 to 7 Days,119
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,22  to 28 Days,2
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,8  to 14 Days,23
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,More than 28 Days,8
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Same Day,929
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,10
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,1 Day,4202
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,15  to 21 Days,695
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,2 to 7 Days,9438
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,22  to 28 Days,196
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,8  to 14 Days,2470
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,More than 28 Days,74
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,Same Day,37934
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,58
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,1 Day,592
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,15  to 21 Days,403
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,2 to 7 Days,1800
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,22  to 28 Days,409
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,8  to 14 Days,556
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,More than 28 Days,299
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,GP,Unknown,Same Day,7196
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,8484
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,10033
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,30482
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,5771
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,21636
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,3515
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,29695
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,38
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,50
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,5
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,67
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,2
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,9
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,3
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,219
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,1 Day,1603
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,74
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,2 to 7 Days,1880
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,22  to 28 Days,46
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,8  to 14 Days,232
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,More than 28 Days,24
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,Same Day,9799
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,6
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,1 Day,232
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,15  to 21 Days,389
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,2 to 7 Days,916
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,22  to 28 Days,296
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,8  to 14 Days,900
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,More than 28 Days,207
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Other Practice staff,Unknown,Same Day,718
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,1 Day,237
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,2 to 7 Days,168
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,22  to 28 Days,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,8  to 14 Days,8
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,More than 28 Days,4
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,Same Day,773
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Face-to-Face,Unknown / Data Issue,27
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Home Visit,1 Day,14
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Home Visit,Same Day,53
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,1 Day,85
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,15  to 21 Days,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,2 to 7 Days,24
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,22  to 28 Days,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,8  to 14 Days,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,Attended,Unknown,Telephone,Same Day,1007
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,1 Day,1288
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,15  to 21 Days,2388
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,2 to 7 Days,3853
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,22  to 28 Days,1289
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,8  to 14 Days,3606
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,More than 28 Days,707
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,Same Day,3963
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Face-to-Face,Unknown / Data Issue,4
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Home Visit,1 Day,7
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Home Visit,2 to 7 Days,5
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Home Visit,More than 28 Days,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Home Visit,Same Day,20
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,1 Day,216
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,15  to 21 Days,36
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,2 to 7 Days,503
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,22  to 28 Days,11
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,8  to 14 Days,133
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,More than 28 Days,4
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,Same Day,1185
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Telephone,Unknown / Data Issue,1
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Unknown,1 Day,51
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Unknown,15  to 21 Days,54
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Unknown,2 to 7 Days,274
93C,E38000240,NHS North Central London CCG,E54000028,North London Partners In Health And Care  STP,E40000003,London,MAR2019,DNA,GP,Unknown,22  to 28 Days,60
