CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,1 Day,19367
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,20596
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,48706
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,9887
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,36101
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3717
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Same Day,123412
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,26
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,1 Day,157
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,15  to 21 Days,8
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,2 to 7 Days,161
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,22  to 28 Days,2
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,8  to 14 Days,35
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,More than 28 Days,1
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Same Day,876
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,3
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,1 Day,6244
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,15  to 21 Days,861
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,2 to 7 Days,10652
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,22  to 28 Days,258
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,8  to 14 Days,2916
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,More than 28 Days,86
72Q,E38000244,NHS South East London CCG,E54000030,Our Healthier South East London  STP,E40000003,London,MAR2019,Attended,GP,Telephone,Same Day,44336
