CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,1 Day,19130
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,16649
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,49828
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,8767
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,36223
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,3949
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Same Day,133709
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,12
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,1 Day,301
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,15  to 21 Days,15
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,2 to 7 Days,165
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,22  to 28 Days,10
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,8  to 14 Days,22
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,More than 28 Days,2
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Same Day,1205
36L,E38000245,NHS South West London CCG,E54000031,South West London Health And Care Partnership  STP,E40000003,London,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,12
