CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,1 Day,2987
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,5293
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,8365
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,4160
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,6993
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,1445
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Same Day,23798
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,1
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,1 Day,36
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,2 to 7 Days,13
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,22  to 28 Days,2
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,8  to 14 Days,6
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,More than 28 Days,3
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Home Visit,Same Day,407
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,1 Day,999
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,15  to 21 Days,243
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,2 to 7 Days,1567
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,22  to 28 Days,57
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,8  to 14 Days,942
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,More than 28 Days,19
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Same Day,9092
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,1
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,1 Day,133
M2L0M,E38000257,"NHS Shropshire, Telford and Wrekin CCG",E54000011,Shropshire And Telford And Wrekin  STP,E40000008,Midlands,MAR2019,Attended,GP,Unknown,15  to 21 Days,451
