CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,1 Day,3931
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,6593
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,11496
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,5482
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,8633
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,2512
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Face-to-Face,Same Day,32367
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,1 Day,142
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,15  to 21 Days,1
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,2 to 7 Days,107
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,22  to 28 Days,1
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,8  to 14 Days,5
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,More than 28 Days,2
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Same Day,1261
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,1
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,1 Day,2342
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,15  to 21 Days,653
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,2 to 7 Days,5098
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,22  to 28 Days,405
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,8  to 14 Days,2332
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,More than 28 Days,115
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Same Day,19987
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,1
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,1 Day,1810
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,15  to 21 Days,1470
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,2 to 7 Days,4111
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,22  to 28 Days,937
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,8  to 14 Days,1508
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,More than 28 Days,1111
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,Same Day,18655
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,GP,Unknown,Unknown / Data Issue,9
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,6151
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,8252
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,24273
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,6442
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,17953
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,5861
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,25636
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,3
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,112
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,17
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,187
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,20
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,48
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,9
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,647
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,1 Day,751
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,125
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,2 to 7 Days,1196
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,22  to 28 Days,76
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,8  to 14 Days,337
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,More than 28 Days,106
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,Same Day,6752
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Telephone,Unknown / Data Issue,8
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,1 Day,1150
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,15  to 21 Days,1759
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,2 to 7 Days,4022
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,22  to 28 Days,1487
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,8  to 14 Days,3331
11X,E38000150,NHS Somerset CCG,E54000038,Somerset  STP,E40000006,South West,MAR2019,Attended,Other Practice staff,Unknown,More than 28 Days,1607
