CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,1 Day,3108
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,3323
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,8625
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,2427
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,5917
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,1673
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Same Day,33563
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,3
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,1 Day,65
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,2 to 7 Days,60
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,22  to 28 Days,2
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,8  to 14 Days,3
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,More than 28 Days,1
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Home Visit,Same Day,381
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,1 Day,1820
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,15  to 21 Days,190
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,2 to 7 Days,2790
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,22  to 28 Days,90
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,8  to 14 Days,630
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,More than 28 Days,48
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Telephone,Same Day,20392
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,1 Day,5
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,15  to 21 Days,3
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,2 to 7 Days,17
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,22  to 28 Days,8
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,8  to 14 Days,2
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,More than 28 Days,5
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Unknown,Same Day,125
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,1 Day,20
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,15  to 21 Days,22
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,2 to 7 Days,163
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,22  to 28 Days,45
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,8  to 14 Days,74
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,More than 28 Days,20
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,GP,Video/Online,Same Day,23
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,4268
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,8141
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,17029
06L,E38000086,NHS Ipswich and East Suffolk CCG,E54000023,Suffolk And North East Essex  STP,E40000007,East of England,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,5796
