CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,12043
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,12934
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,32351
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,10429
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,23434
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,6181
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,92058
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Unknown / Data Issue,3
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,187
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,15  to 21 Days,1
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,2 to 7 Days,130
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,22  to 28 Days,1
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,8  to 14 Days,8
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,Same Day,1313
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,Unknown / Data Issue,1
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,1 Day,3810
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,15  to 21 Days,744
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,2 to 7 Days,9852
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,22  to 28 Days,300
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,8  to 14 Days,2927
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,More than 28 Days,112
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,Same Day,26716
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,Unknown / Data Issue,1
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,1 Day,349
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,15  to 21 Days,426
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,2 to 7 Days,957
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,22  to 28 Days,223
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,8  to 14 Days,856
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,More than 28 Days,129
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,Same Day,2081
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,7518
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,15209
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,35231
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,10938
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,28958
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,11917
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,24878
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,6
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,81
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,5
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,83
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,22  to 28 Days,8
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,8  to 14 Days,25
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,More than 28 Days,6
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,Same Day,552
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Telephone,1 Day,468
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Telephone,15  to 21 Days,70
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Telephone,2 to 7 Days,734
92A,E38000246,NHS Surrey Heartlands CCG,E54000052,Surrey Heartlands Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Telephone,22  to 28 Days,39
