CCG_CODE,CCG_ONS_CODE,CCG_NAME,STP_ONS,STPNM,REGION_ONS_CODE,REGION_NAME,Appointment_Month,APPT_STATUS,HCP_TYPE,APPT_MODE,TIME_BETWEEN_BOOK_AND_APPT,COUNT_OF_APPOINTMENTS
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,1 Day,2883
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,15  to 21 Days,2254
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,2 to 7 Days,10264
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,22  to 28 Days,1362
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,8  to 14 Days,5800
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,More than 28 Days,719
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Face-to-Face,Same Day,24786
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,1 Day,7
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,2 to 7 Days,12
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,More than 28 Days,2
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Home Visit,Same Day,99
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,1 Day,1797
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,15  to 21 Days,104
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,2 to 7 Days,2123
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,22  to 28 Days,49
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,8  to 14 Days,491
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,More than 28 Days,22
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Telephone,Same Day,10392
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,1 Day,53
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,15  to 21 Days,18
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,2 to 7 Days,241
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,22  to 28 Days,1
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,8  to 14 Days,82
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Unknown,Same Day,868
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,1 Day,11
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,15  to 21 Days,10
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,2 to 7 Days,36
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,22  to 28 Days,7
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,8  to 14 Days,56
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,More than 28 Days,2
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,GP,Video/Online,Same Day,12
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,1 Day,2270
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,15  to 21 Days,3836
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,2 to 7 Days,7769
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,22  to 28 Days,2069
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,8  to 14 Days,6845
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,More than 28 Days,1893
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,Same Day,7265
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Face-to-Face,Unknown / Data Issue,4
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,1 Day,15
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,15  to 21 Days,7
09D,E38000021,NHS Brighton and Hove CCG,E54000053,Sussex And East Surrey Health And Care Partnership  STP,E40000005,South East,MAR2019,Attended,Other Practice staff,Home Visit,2 to 7 Days,12
